mode,date,tap,time,count
bus,20160731,on,20:15,2157
bus,20160731,on,00:15,277
bus,20160731,on,13:00,7524
bus,20160731,on,02:45,106
bus,20160731,on,23:30,454
bus,20160731,on,17:45,6262
bus,20160731,on,10:45,6325
bus,20160731,on,05:15,206
bus,20160731,on,20:00,2383
bus,20160731,on,12:30,7465
bus,20160731,on,07:00,1007
bus,20160731,on,14:15,7578
bus,20160731,on,08:45,4370
bus,20160731,on,23:45,315
bus,20160731,on,-1,364
bus,20160731,on,13:15,7570
bus,20160731,on,11:45,7322
bus,20160731,on,22:45,1068
bus,20160731,on,05:00,175
bus,20160731,on,16:15,7778
bus,20160731,on,01:15,139
bus,20160731,on,14:00,7454
bus,20160731,on,21:15,1741
bus,20160731,on,07:30,1675
bus,20160731,on,06:30,682
bus,20160731,on,01:00,192
bus,20160731,on,15:00,7725
bus,20160731,on,16:00,8014
bus,20160731,on,23:15,649
bus,20160731,on,12:15,7352
bus,20160731,on,21:00,2064
bus,20160731,on,04:30,207
bus,20160731,on,05:30,302
bus,20160731,on,03:15,90
bus,20160731,on,14:30,7465
bus,20160731,on,18:15,5473
bus,20160731,on,06:45,714
bus,20160731,on,19:00,3693
bus,20160731,on,12:00,7064
bus,20160731,on,09:45,5703
bus,20160731,on,23:00,858
bus,20160731,on,00:45,150
bus,20160731,on,04:00,93
bus,20160731,on,17:30,7383
bus,20160731,on,10:15,6200
bus,20160731,on,08:30,3749
bus,20160731,on,03:00,163
bus,20160731,on,21:30,1781
bus,20160731,on,15:45,7595
bus,20160731,on,18:00,6416
bus,20160731,on,20:30,2221
bus,20160731,on,19:15,3302
bus,20160731,on,08:00,2624
bus,20160731,on,02:00,158
bus,20160731,on,13:45,7337
bus,20160731,on,17:00,7581
bus,20160731,on,09:30,5800
bus,20160731,on,22:30,1418
bus,20160731,on,04:15,45
bus,20160731,on,03:30,127
bus,20160731,on,10:00,6021
bus,20160731,on,18:30,4736
bus,20160731,on,20:45,1821
bus,20160731,on,07:45,1955
bus,20160731,on,06:00,491
bus,20160731,on,05:45,273
bus,20160731,on,08:15,3169
bus,20160731,on,11:00,6721
bus,20160731,on,02:15,142
bus,20160731,on,22:00,1710
bus,20160731,on,17:15,7656
bus,20160731,on,10:30,6584
bus,20160731,on,15:30,7499
bus,20160731,on,14:45,7650
bus,20160731,on,00:30,168
bus,20160731,on,19:30,2879
bus,20160731,on,06:15,539
bus,20160731,on,01:45,159
bus,20160731,on,16:45,7770
bus,20160731,on,11:15,7088
bus,20160731,on,09:15,5275
bus,20160731,on,22:15,1475
bus,20160731,on,21:45,1460
bus,20160731,off,02:30,186
bus,20160731,off,13:30,6921
bus,20160731,off,15:15,7197
bus,20160731,off,12:45,7123
bus,20160731,off,00:00,309
bus,20160731,off,16:30,7597
bus,20160731,off,04:45,181
bus,20160731,off,03:45,151
bus,20160731,off,19:45,2838
bus,20160731,off,01:30,148
bus,20160731,off,07:15,900
bus,20160731,off,09:00,3848
bus,20160731,off,18:45,4848
bus,20160731,off,11:30,7086
bus,20160731,off,20:15,2025
bus,20160731,off,00:15,260
bus,20160731,off,13:00,6829
bus,20160731,off,02:45,131
bus,20160731,off,23:30,612
bus,20160731,off,17:45,6669
bus,20160731,off,10:45,6133
bus,20160731,off,05:15,177
bus,20160731,off,20:00,2375
bus,20160731,off,12:30,6855
bus,20160731,off,07:00,612
bus,20160731,off,14:15,7374
bus,20160731,off,08:45,3897
bus,20160731,off,23:45,419
bus,20160731,off,-1,15389
bus,20160731,off,13:15,7201
bus,20160731,off,11:45,6962
bus,20160731,off,22:45,1253
bus,20160731,off,05:00,196
bus,20160731,off,16:15,7260
bus,20160731,off,01:15,184
bus,20160731,off,14:00,6836
bus,20160731,off,21:15,1789
bus,20160731,off,07:30,1201
bus,20160731,off,06:30,553
bus,20160731,off,01:00,117
bus,20160731,off,15:00,7068
bus,20160731,off,16:00,7126
bus,20160731,off,23:15,862
bus,20160731,off,12:15,6978
bus,20160731,off,21:00,1914
bus,20160731,off,04:30,210
bus,20160731,off,05:30,245
bus,20160731,off,03:15,133
bus,20160731,off,14:30,6969
bus,20160731,off,18:15,6140
bus,20160731,off,06:45,736
bus,20160731,off,19:00,3981
bus,20160731,off,12:00,6832
bus,20160731,off,09:45,5602
bus,20160731,off,23:00,989
bus,20160731,off,00:45,129
bus,20160731,off,04:00,127
bus,20160731,off,17:30,7316
bus,20160731,off,10:15,5591
bus,20160731,off,08:30,3085
bus,20160731,off,03:00,136
bus,20160731,off,21:30,1837
bus,20160731,off,15:45,7430
bus,20160731,off,18:00,6691
bus,20160731,off,20:30,2224
bus,20160731,off,19:15,3548
bus,20160731,off,08:00,1824
